,image,label
2948,not_mask/00206.jpg,not_mask
11518,incorrect_mask/03408_Mask_Mouth_Chin.jpg,incorrect_mask
8205,correct_mask/03433_Mask.jpg,correct_mask
5015,correct_mask/01576_Mask.jpg,correct_mask
6379,correct_mask/04171_Mask.jpg,correct_mask
3545,not_mask/01099.jpg,not_mask
5234,correct_mask/04375_Mask.jpg,correct_mask
8141,correct_mask/04519_Mask.jpg,correct_mask
7145,correct_mask/03845_Mask.jpg,correct_mask
5066,correct_mask/04685_Mask.jpg,correct_mask
11672,incorrect_mask/01205_Mask_Mouth_Chin.jpg,incorrect_mask
1434,not_mask/02945.jpg,not_mask
14646,incorrect_mask/01108_Mask_Mouth_Chin.jpg,incorrect_mask
92,not_mask/04472.jpg,not_mask
11140,incorrect_mask/02989_Mask_Mouth_Chin.jpg,incorrect_mask
9976,incorrect_mask/02988_Mask_Mouth_Chin.jpg,incorrect_mask
4193,not_mask/03519.jpg,not_mask
13472,incorrect_mask/03656_Mask_Mouth_Chin.jpg,incorrect_mask
7919,correct_mask/02107_Mask.jpg,correct_mask
13020,incorrect_mask/04515_Mask_Mouth_Chin.jpg,incorrect_mask
8225,correct_mask/correct_mask_000085.jpg,correct_mask
3184,not_mask/02063.jpg,not_mask
10624,incorrect_mask/00664_Mask_Mouth_Chin.jpg,incorrect_mask
13879,incorrect_mask/04685_Mask_Mouth_Chin.jpg,incorrect_mask
12870,incorrect_mask/04097_Mask_Mouth_Chin.jpg,incorrect_mask
7944,correct_mask/04215_Mask.jpg,correct_mask
8639,correct_mask/correct_mask_000938.jpg,correct_mask
11482,incorrect_mask/00792_Mask_Mouth_Chin.jpg,incorrect_mask
6119,correct_mask/03526_Mask.jpg,correct_mask
9693,correct_mask/03702_Mask.jpg,correct_mask
1084,not_mask/04959.jpg,not_mask
3821,not_mask/01491.jpg,not_mask
2777,not_mask/01183.jpg,not_mask
5440,correct_mask/02932_Mask.jpg,correct_mask
428,not_mask/01894.jpg,not_mask
10163,incorrect_mask/03422_Mask_Mouth_Chin.jpg,incorrect_mask
7199,correct_mask/01940_Mask.jpg,correct_mask
5846,correct_mask/04937_Mask.jpg,correct_mask
9530,correct_mask/02113_Mask.jpg,correct_mask
4819,not_mask/01416.jpg,not_mask
13517,incorrect_mask/02470_Mask_Mouth_Chin.jpg,incorrect_mask
2698,not_mask/03584.jpg,not_mask
6264,correct_mask/03693_Mask.jpg,correct_mask
8118,correct_mask/correct_mask_001526.jpg,correct_mask
408,not_mask/01156.jpg,not_mask
7220,correct_mask/correct_mask_001857.jpg,correct_mask
13001,incorrect_mask/02650_Mask_Chin.jpg,incorrect_mask
1608,not_mask/01138.jpg,not_mask
10203,incorrect_mask/04268_Mask_Mouth_Chin.jpg,incorrect_mask
10115,incorrect_mask/01560_Mask_Mouth_Chin.jpg,incorrect_mask
14145,incorrect_mask/01155_Mask_Mouth_Chin.jpg,incorrect_mask
7356,correct_mask/correct_mask_002123.jpg,correct_mask
5496,correct_mask/02945_Mask.jpg,correct_mask
12948,incorrect_mask/02877_Mask_Mouth_Chin.jpg,incorrect_mask
14241,incorrect_mask/03868_Mask_Mouth_Chin.jpg,incorrect_mask
11527,incorrect_mask/02499_Mask_Mouth_Chin.jpg,incorrect_mask
8116,correct_mask/correct_mask_001850.jpg,correct_mask
949,not_mask/02366.jpg,not_mask
13161,incorrect_mask/03152_Mask_Mouth_Chin.jpg,incorrect_mask
3116,not_mask/03009.jpg,not_mask
2865,not_mask/00437.jpg,not_mask
8819,correct_mask/04223_Mask.jpg,correct_mask
8764,correct_mask/02899_Mask.jpg,correct_mask
11360,incorrect_mask/04213_Mask_Mouth_Chin.jpg,incorrect_mask
7523,correct_mask/01943_Mask.jpg,correct_mask
12294,incorrect_mask/aug_160.jpg,incorrect_mask
11717,incorrect_mask/04193_Mask_Mouth_Chin.jpg,incorrect_mask
12591,incorrect_mask/aug_191.jpg,incorrect_mask
11979,incorrect_mask/01790_Mask_Mouth_Chin.jpg,incorrect_mask
7534,correct_mask/correct_mask_001754.jpg,correct_mask
1691,not_mask/04867.jpg,not_mask
14377,incorrect_mask/03159_Mask_Chin.jpg,incorrect_mask
13693,incorrect_mask/02643_Mask_Mouth_Chin.jpg,incorrect_mask
1421,not_mask/03017.jpg,not_mask
6209,correct_mask/01689_Mask.jpg,correct_mask
8487,correct_mask/03754_Mask.jpg,correct_mask
819,not_mask/04751.jpg,not_mask
4411,not_mask/01577.jpg,not_mask
5426,correct_mask/01340_Mask.jpg,correct_mask
6909,correct_mask/02700_Mask.jpg,correct_mask
6383,correct_mask/01862_Mask.jpg,correct_mask
14348,incorrect_mask/01643_Mask_Mouth_Chin.jpg,incorrect_mask
10972,incorrect_mask/00740_Mask_Mouth_Chin.jpg,incorrect_mask
7276,correct_mask/00374_Mask.jpg,correct_mask
13081,incorrect_mask/01692_Mask_Mouth_Chin.jpg,incorrect_mask
9671,correct_mask/03842_Mask.jpg,correct_mask
409,not_mask/01374.jpg,not_mask
1285,not_mask/02706.jpg,not_mask
4604,not_mask/04247.jpg,not_mask
3355,not_mask/03469.jpg,not_mask
9132,correct_mask/02326_Mask.jpg,correct_mask
5729,correct_mask/04079_Mask.jpg,correct_mask
1091,not_mask/00655.jpg,not_mask
12051,incorrect_mask/04172_Mask_Mouth_Chin.jpg,incorrect_mask
73,not_mask/01081.jpg,not_mask
8484,correct_mask/04452_Mask.jpg,correct_mask
5403,correct_mask/02331_Mask.jpg,correct_mask
10979,incorrect_mask/02938_Mask_Chin.jpg,incorrect_mask
6431,correct_mask/03951_Mask.jpg,correct_mask
4894,not_mask/04316.jpg,not_mask
291,not_mask/02814.jpg,not_mask
5830,correct_mask/03085_Mask.jpg,correct_mask
4100,not_mask/01983.jpg,not_mask
11165,incorrect_mask/00569_Mask_Mouth_Chin.jpg,incorrect_mask
7100,correct_mask/01346_Mask.jpg,correct_mask
2089,not_mask/01049.jpg,not_mask
8391,correct_mask/04081_Mask.jpg,correct_mask
1801,not_mask/03379.jpg,not_mask
13443,incorrect_mask/01629_Mask_Mouth_Chin.jpg,incorrect_mask
11573,incorrect_mask/00882_Mask_Mouth_Chin.jpg,incorrect_mask
1576,not_mask/04789.jpg,not_mask
1110,not_mask/04226.jpg,not_mask
318,not_mask/03761.jpg,not_mask
4787,not_mask/03875.jpg,not_mask
3717,not_mask/04027.jpg,not_mask
13285,incorrect_mask/00153_Mask_Mouth_Chin.jpg,incorrect_mask
10252,incorrect_mask/02617_Mask_Mouth_Chin.jpg,incorrect_mask
1825,not_mask/00402.jpg,not_mask
3146,not_mask/03208.jpg,not_mask
4862,not_mask/03492.jpg,not_mask
6220,correct_mask/01883_Mask.jpg,correct_mask
144,not_mask/03042.jpg,not_mask
9683,correct_mask/01404_Mask.jpg,correct_mask
4605,not_mask/04624.jpg,not_mask
10304,incorrect_mask/aug_415.jpg,incorrect_mask
3658,not_mask/03765.jpg,not_mask
3378,not_mask/01302.jpg,not_mask
12828,incorrect_mask/aug_618.jpg,incorrect_mask
14492,incorrect_mask/01029_Mask_Mouth_Chin.jpg,incorrect_mask
3251,not_mask/02423.jpg,not_mask
11502,incorrect_mask/01465_Mask_Mouth_Chin.jpg,incorrect_mask
10184,incorrect_mask/00164_Mask_Chin.jpg,incorrect_mask
14393,incorrect_mask/01158_Mask_Mouth_Chin.jpg,incorrect_mask
7976,correct_mask/03995_Mask.jpg,correct_mask
1830,not_mask/04517.jpg,not_mask
12171,incorrect_mask/00000_Mask_Mouth_Chin.jpg,incorrect_mask
85,not_mask/02308.jpg,not_mask
12100,incorrect_mask/04686_Mask_Mouth_Chin.jpg,incorrect_mask
1219,not_mask/03908.jpg,not_mask
4004,not_mask/02411.jpg,not_mask
4848,not_mask/01429.jpg,not_mask
3288,not_mask/02468.jpg,not_mask
10474,incorrect_mask/00414_Mask_Mouth_Chin.jpg,incorrect_mask
6729,correct_mask/03141_Mask.jpg,correct_mask
12121,incorrect_mask/02902_Mask_Mouth_Chin.jpg,incorrect_mask
6330,correct_mask/03625_Mask.jpg,correct_mask
4639,not_mask/02338.jpg,not_mask
11373,incorrect_mask/02567_Mask_Mouth_Chin.jpg,incorrect_mask
594,not_mask/01510.jpg,not_mask
8094,correct_mask/01421_Mask.jpg,correct_mask
12675,incorrect_mask/01069_Mask_Mouth_Chin.jpg,incorrect_mask
7466,correct_mask/03520_Mask.jpg,correct_mask
8874,correct_mask/02300_Mask.jpg,correct_mask
7316,correct_mask/02673_Mask.jpg,correct_mask
8443,correct_mask/04619_Mask.jpg,correct_mask
14220,incorrect_mask/04345_Mask_Mouth_Chin.jpg,incorrect_mask
13748,incorrect_mask/02421_Mask_Mouth_Chin.jpg,incorrect_mask
8180,correct_mask/04701_Mask.jpg,correct_mask
61,not_mask/01173.jpg,not_mask
12339,incorrect_mask/01561_Mask_Mouth_Chin.jpg,incorrect_mask
8893,correct_mask/00500_Mask.jpg,correct_mask
11821,incorrect_mask/02179_Mask_Mouth_Chin.jpg,incorrect_mask
10451,incorrect_mask/04614_Mask_Chin.jpg,incorrect_mask
4870,not_mask/03308.jpg,not_mask
13251,incorrect_mask/03694_Mask_Mouth_Chin.jpg,incorrect_mask
12792,incorrect_mask/00619_Mask_Mouth_Chin.jpg,incorrect_mask
12110,incorrect_mask/03037_Mask_Mouth_Chin.jpg,incorrect_mask
11850,incorrect_mask/03317_Mask_Chin.jpg,incorrect_mask
4653,not_mask/00297.jpg,not_mask
7019,correct_mask/01392_Mask.jpg,correct_mask
14553,incorrect_mask/00810_Mask_Mouth_Chin.jpg,incorrect_mask
6210,correct_mask/04616_Mask.jpg,correct_mask
8798,correct_mask/04462_Mask.jpg,correct_mask
11159,incorrect_mask/00008_Mask_Mouth_Chin.jpg,incorrect_mask
9628,correct_mask/00833_Mask.jpg,correct_mask
8735,correct_mask/correct_mask_002089.jpg,correct_mask
958,not_mask/03089.jpg,not_mask
472,not_mask/02705.jpg,not_mask
1513,not_mask/01321.jpg,not_mask
2290,not_mask/01107.jpg,not_mask
11726,incorrect_mask/03552_Mask_Mouth_Chin.jpg,incorrect_mask
12504,incorrect_mask/03575_Mask_Mouth_Chin.jpg,incorrect_mask
10337,incorrect_mask/03905_Mask_Mouth_Chin.jpg,incorrect_mask
14328,incorrect_mask/00694_Mask_Mouth_Chin.jpg,incorrect_mask
1479,not_mask/02909.jpg,not_mask
8864,correct_mask/03111_Mask.jpg,correct_mask
4693,not_mask/03533.jpg,not_mask
2899,not_mask/02619.jpg,not_mask
4667,not_mask/03604.jpg,not_mask
6810,correct_mask/02992_Mask.jpg,correct_mask
13221,incorrect_mask/01675_Mask_Mouth_Chin.jpg,incorrect_mask
10263,incorrect_mask/01160_Mask_Mouth_Chin.jpg,incorrect_mask
3386,not_mask/01010.jpg,not_mask
3369,not_mask/01656.jpg,not_mask
10061,incorrect_mask/03828_Mask_Mouth_Chin.jpg,incorrect_mask
10000,incorrect_mask/03118_Mask_Mouth_Chin.jpg,incorrect_mask
4842,not_mask/03319.jpg,not_mask
9834,incorrect_mask/02819_Mask_Mouth_Chin.jpg,incorrect_mask
13501,incorrect_mask/03319_Mask_Mouth_Chin.jpg,incorrect_mask
7200,correct_mask/03012_Mask.jpg,correct_mask
11901,incorrect_mask/00859_Mask_Mouth_Chin.jpg,incorrect_mask
8083,correct_mask/01538_Mask.jpg,correct_mask
9869,incorrect_mask/02287_Mask_Mouth_Chin.jpg,incorrect_mask
12359,incorrect_mask/02754_Mask_Mouth_Chin.jpg,incorrect_mask
3478,not_mask/02358.jpg,not_mask
3487,not_mask/03035.jpg,not_mask
13610,incorrect_mask/03225_Mask_Mouth_Chin.jpg,incorrect_mask
10654,incorrect_mask/00117_Mask_Mouth_Chin.jpg,incorrect_mask
127,not_mask/04567.jpg,not_mask
6110,correct_mask/03561_Mask.jpg,correct_mask
12996,incorrect_mask/02456_Mask_Mouth_Chin.jpg,incorrect_mask
9343,correct_mask/01602_Mask.jpg,correct_mask
6087,correct_mask/00113_Mask.jpg,correct_mask
1264,not_mask/00298.jpg,not_mask
7309,correct_mask/01528_Mask.jpg,correct_mask
4506,not_mask/04786.jpg,not_mask
9814,incorrect_mask/03482_Mask_Mouth_Chin.jpg,incorrect_mask
7640,correct_mask/correct_mask_000392.jpg,correct_mask
7302,correct_mask/01481_Mask.jpg,correct_mask
4341,not_mask/03829.jpg,not_mask
11950,incorrect_mask/03988_Mask_Mouth_Chin.jpg,incorrect_mask
3860,not_mask/03161.jpg,not_mask
275,not_mask/03402.jpg,not_mask
10221,incorrect_mask/01282_Mask_Mouth_Chin.jpg,incorrect_mask
10272,incorrect_mask/04707_Mask_Mouth_Chin.jpg,incorrect_mask
1272,not_mask/03174.jpg,not_mask
4093,not_mask/04195.jpg,not_mask
9962,incorrect_mask/01693_Mask_Mouth_Chin.jpg,incorrect_mask
3467,not_mask/03267.jpg,not_mask
7623,correct_mask/correct_mask_001573.jpg,correct_mask
1897,not_mask/04816.jpg,not_mask
13162,incorrect_mask/03779_Mask_Mouth_Chin.jpg,incorrect_mask
5474,correct_mask/03489_Mask.jpg,correct_mask
12961,incorrect_mask/01642_Mask_Mouth_Chin.jpg,incorrect_mask
12683,incorrect_mask/01959_Mask_Mouth_Chin.jpg,incorrect_mask
14398,incorrect_mask/aug_317.jpg,incorrect_mask
14037,incorrect_mask/00236_Mask_Mouth_Chin.jpg,incorrect_mask
5042,correct_mask/02395_Mask.jpg,correct_mask
9129,correct_mask/correct_mask_000673.jpg,correct_mask
6973,correct_mask/01041_Mask.jpg,correct_mask
2826,not_mask/02169.jpg,not_mask
715,not_mask/01105.jpg,not_mask
10302,incorrect_mask/00127_Mask_Chin.jpg,incorrect_mask
2973,not_mask/01074.jpg,not_mask
8023,correct_mask/correct_mask_000337.jpg,correct_mask
1118,not_mask/02603.jpg,not_mask
5826,correct_mask/00764_Mask.jpg,correct_mask
9593,correct_mask/02059_Mask.jpg,correct_mask
3315,not_mask/03909.jpg,not_mask
5504,correct_mask/02304_Mask.jpg,correct_mask
5598,correct_mask/correct_mask_001179.jpg,correct_mask
4960,not_mask/00096.jpg,not_mask
2316,not_mask/04089.jpg,not_mask
6906,correct_mask/correct_mask_001177.jpg,correct_mask
10619,incorrect_mask/01335_Mask_Chin.jpg,incorrect_mask
4111,not_mask/03078.jpg,not_mask
13840,incorrect_mask/aug_367.jpg,incorrect_mask
13938,incorrect_mask/00054_Mask_Mouth_Chin.jpg,incorrect_mask
10249,incorrect_mask/00993_Mask_Mouth_Chin.jpg,incorrect_mask
5032,correct_mask/00370_Mask.jpg,correct_mask
5174,correct_mask/correct_mask_000477.jpg,correct_mask
5385,correct_mask/03254_Mask.jpg,correct_mask
7369,correct_mask/00486_Mask.jpg,correct_mask
3889,not_mask/00532.jpg,not_mask
5278,correct_mask/correct_mask_002051.jpg,correct_mask
7456,correct_mask/03909_Mask.jpg,correct_mask
10376,incorrect_mask/aug_218.jpg,incorrect_mask
13158,incorrect_mask/03089_Mask_Mouth_Chin.jpg,incorrect_mask
1864,not_mask/01737.jpg,not_mask
8726,correct_mask/02538_Mask.jpg,correct_mask
7724,correct_mask/03545_Mask.jpg,correct_mask
14203,incorrect_mask/aug_30.jpg,incorrect_mask
1145,not_mask/03726.jpg,not_mask
13618,incorrect_mask/02814_Mask_Mouth_Chin.jpg,incorrect_mask
14112,incorrect_mask/04797_Mask_Mouth_Chin.jpg,incorrect_mask
13055,incorrect_mask/aug_214.jpg,incorrect_mask
733,not_mask/00890.jpg,not_mask
8337,correct_mask/correct_mask_000036.jpg,correct_mask
5376,correct_mask/00070_Mask.jpg,correct_mask
10172,incorrect_mask/02887_Mask_Mouth_Chin.jpg,incorrect_mask
3282,not_mask/03465.jpg,not_mask
2457,not_mask/00071.jpg,not_mask
13320,incorrect_mask/04469_Mask_Mouth_Chin.jpg,incorrect_mask
8256,correct_mask/01032_Mask.jpg,correct_mask
13129,incorrect_mask/00355_Mask_Mouth_Chin.jpg,incorrect_mask
5389,correct_mask/correct_mask_001597.jpg,correct_mask
7603,correct_mask/00997_Mask.jpg,correct_mask
10968,incorrect_mask/01010_Mask_Mouth_Chin.jpg,incorrect_mask
7191,correct_mask/correct_mask_001505.jpg,correct_mask
3509,not_mask/00244.jpg,not_mask
9267,correct_mask/02557_Mask.jpg,correct_mask
14107,incorrect_mask/01528_Mask_Chin.jpg,incorrect_mask
5328,correct_mask/correct_mask_002180.jpg,correct_mask
5118,correct_mask/04263_Mask.jpg,correct_mask
6270,correct_mask/correct_mask_001758.jpg,correct_mask
12663,incorrect_mask/04491_Mask_Mouth_Chin.jpg,incorrect_mask
14622,incorrect_mask/incorrect-mask-66.jpg,incorrect_mask
3668,not_mask/04706.jpg,not_mask
8742,correct_mask/03583_Mask.jpg,correct_mask
13364,incorrect_mask/01406_Mask_Mouth_Chin.jpg,incorrect_mask
6517,correct_mask/02093_Mask.jpg,correct_mask
3613,not_mask/03650.jpg,not_mask
13289,incorrect_mask/00470_Mask_Mouth_Chin.jpg,incorrect_mask
7936,correct_mask/01839_Mask.jpg,correct_mask
4708,not_mask/00658.jpg,not_mask
7391,correct_mask/04529_Mask.jpg,correct_mask
6649,correct_mask/correct_mask_001837.jpg,correct_mask
7831,correct_mask/01857_Mask.jpg,correct_mask
11250,incorrect_mask/aug_519.jpg,incorrect_mask
6839,correct_mask/correct_mask_000414.jpg,correct_mask
5202,correct_mask/00637_Mask.jpg,correct_mask
14168,incorrect_mask/03576_Mask_Mouth_Chin.jpg,incorrect_mask
9807,incorrect_mask/03333_Mask_Mouth_Chin.jpg,incorrect_mask
11143,incorrect_mask/01700_Mask_Chin.jpg,incorrect_mask
1793,not_mask/04147.jpg,not_mask
1692,not_mask/01880.jpg,not_mask
11103,incorrect_mask/04184_Mask_Chin.jpg,incorrect_mask
8878,correct_mask/correct_mask_000250.jpg,correct_mask
12321,incorrect_mask/00826_Mask_Mouth_Chin.jpg,incorrect_mask
493,not_mask/03045.jpg,not_mask
11685,incorrect_mask/00578_Mask_Mouth_Chin.jpg,incorrect_mask
157,not_mask/03231.jpg,not_mask
4303,not_mask/03095.jpg,not_mask
12831,incorrect_mask/04780_Mask_Mouth_Chin.jpg,incorrect_mask
5217,correct_mask/03491_Mask.jpg,correct_mask
11176,incorrect_mask/01658_Mask_Mouth_Chin.jpg,incorrect_mask
7422,correct_mask/02933_Mask.jpg,correct_mask
9307,correct_mask/correct_mask_002032.jpg,correct_mask
8570,correct_mask/03474_Mask.jpg,correct_mask
2287,not_mask/01142.jpg,not_mask
7229,correct_mask/02574_Mask.jpg,correct_mask
3351,not_mask/03820.jpg,not_mask
7228,correct_mask/correct_mask_001764.jpg,correct_mask
965,not_mask/00765.jpg,not_mask
3592,not_mask/02439.jpg,not_mask
6126,correct_mask/correct_mask_001403.jpg,correct_mask
2252,not_mask/03418.jpg,not_mask
8510,correct_mask/00141_Mask.jpg,correct_mask
2578,not_mask/04743.jpg,not_mask
438,not_mask/00678.jpg,not_mask
9538,correct_mask/00055_Mask.jpg,correct_mask
8031,correct_mask/01948_Mask.jpg,correct_mask
1614,not_mask/03460.jpg,not_mask
4580,not_mask/04714.jpg,not_mask
8781,correct_mask/01706_Mask.jpg,correct_mask
9217,correct_mask/01224_Mask.jpg,correct_mask
10710,incorrect_mask/aug_460.jpg,incorrect_mask
12672,incorrect_mask/02047_Mask_Mouth_Chin.jpg,incorrect_mask
12817,incorrect_mask/00668_Mask_Mouth_Chin.jpg,incorrect_mask
467,not_mask/00900.jpg,not_mask
3991,not_mask/03366.jpg,not_mask
756,not_mask/04394.jpg,not_mask
4414,not_mask/03257.jpg,not_mask
12832,incorrect_mask/04755_Mask_Mouth_Chin.jpg,incorrect_mask
2688,not_mask/04923.jpg,not_mask
1090,not_mask/02070.jpg,not_mask
6454,correct_mask/04805_Mask.jpg,correct_mask
4304,not_mask/02610.jpg,not_mask
4649,not_mask/00733.jpg,not_mask
14204,incorrect_mask/aug_443.jpg,incorrect_mask
13880,incorrect_mask/01557_Mask_Mouth_Chin.jpg,incorrect_mask
12864,incorrect_mask/aug_85.jpg,incorrect_mask
1374,not_mask/00522.jpg,not_mask
5312,correct_mask/02950_Mask.jpg,correct_mask
1862,not_mask/02344.jpg,not_mask
9336,correct_mask/correct_mask_000814.jpg,correct_mask
11082,incorrect_mask/01491_Mask_Mouth_Chin.jpg,incorrect_mask
6373,correct_mask/04932_Mask.jpg,correct_mask
4671,not_mask/00665.jpg,not_mask
7159,correct_mask/00074_Mask.jpg,correct_mask
8439,correct_mask/02798_Mask.jpg,correct_mask
1878,not_mask/04398.jpg,not_mask
14176,incorrect_mask/02603_Mask_Mouth_Chin.jpg,incorrect_mask
13977,incorrect_mask/03490_Mask_Mouth_Chin.jpg,incorrect_mask
8470,correct_mask/03764_Mask.jpg,correct_mask
1119,not_mask/00906.jpg,not_mask
8380,correct_mask/04651_Mask.jpg,correct_mask
9825,incorrect_mask/02358_Mask_Mouth_Chin.jpg,incorrect_mask
11648,incorrect_mask/02170_Mask_Mouth_Chin.jpg,incorrect_mask
13240,incorrect_mask/02034_Mask_Mouth_Chin.jpg,incorrect_mask
8272,correct_mask/01701_Mask.jpg,correct_mask
12499,incorrect_mask/02525_Mask_Mouth_Chin.jpg,incorrect_mask
2186,not_mask/02355.jpg,not_mask
10792,incorrect_mask/03756_Mask_Mouth_Chin.jpg,incorrect_mask
13358,incorrect_mask/04974_Mask_Mouth_Chin.jpg,incorrect_mask
3678,not_mask/01857.jpg,not_mask
